id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29567201,"Beautiful home minutesNYCFerry , and Manhattan.",222600382,Julio,Bronx,Clason Point,40.80895,-73.85074,Entire home/apt,176,30,0,,,1,365,0,
846546411200661715,"Perfect for Tourism, Near Times Sq, Metro Sleeps 5",481452777,Jude,Manhattan,Harlem,40.8174733,-73.94419090000001,Entire home/apt,318,1,50,2024-04-29,3.78,15,203,44,Exempt
20969532,Bright & Large Open Studio 15 Min To Manhattan,127292,Elan,Queens,Sunnyside,40.74243,-73.92457,Entire home/apt,88,30,25,2024-02-24,0.33,3,182,4,
867404878141992486,Airy bedroom in a beautiful flat,68927972,Anastasia,Brooklyn,Greenpoint,40.72090353865539,-73.94053649857936,Private room,140,30,10,2023-11-09,0.96,1,270,10,
969450944687841104,Artists Loft in Brooklyn,303621536,Charlie,Brooklyn,Williamsburg,40.709180566877926,-73.9401284299423,Private room,132,30,12,2024-03-31,1.56,1,241,12,
817413068766513902,"Stay with Tara and Mo,Private room,5 min walk to Q",499068203,Tara,Brooklyn,Kensington,40.644654257937006,-73.97041510460274,Private room,93,30,18,2023-12-02,1.27,1,33,13,OSE-STRREG-0000932
821888981927057300,Private room in 2 br modern apartment,291190299,Avto,Manhattan,Washington Heights,40.84793118032002,-73.93499813952006,Private room,119,30,0,,,1,260,0,
712136,Room Available-Close to Manhattan-B,3625735,Marianne,Staten Island,Concord,40.60035,-74.09103,Private room,,30,35,2017-08-29,0.25,3,0,0,
25535697,Huge Central Harlem 2 Bedroom (125th 2/3 train),7710878,Monica,Manhattan,Harlem,40.81021,-73.94729,Entire home/apt,,30,0,,,1,0,0,
915195382103435091,Bright room - near LGA airport,261799254,Erika,Queens,East Elmhurst,40.7644857,-73.8682204,Private room,65,30,0,,,1,179,0,
45328502,5Subway Line Easy Access to Manhattan with Sofa,19303369,Hiroki,Queens,Woodside,40.7416,-73.89596,Private room,,30,6,2023-07-22,0.30,258,0,2,
45591267,Cozy Ornate BedStuy Floor Apartment,151574296,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68099,-73.91442,Entire home/apt,,30,0,,,1,0,0,
51913352,Cozy luxurious short term rental,420486625,Gineth,Bronx,Clason Point,40.813395,-73.864178,Entire home/apt,364,1,6,2024-02-17,0.52,1,336,6,OSE-STRREG-0000637
6188022,Handsome historic Greenpoint 2BR,1811344,Jennifer,Brooklyn,Greenpoint,40.73207,-73.95436,Entire home/apt,,30,1,2015-08-01,0.01,1,0,0,
19530778,Large window Private Room in Flushing Queens,137129564,Bing,Queens,Flushing,40.75241,-73.81458,Private room,60,30,152,2023-10-08,2.04,10,300,14,
4144630,Bedford Ave,21500500,Juan,Brooklyn,Williamsburg,40.71794,-73.95682,Private room,,30,0,,,1,0,0,
